HGNC_symbol	gene_name	mito_process	gene_function	chr	obsolete_HGNC_symbol	HGNC_ID	HGNC_name	ENSG_ID	ENSG_name	NCBI_GeneID	NCBI_name
SLC25A6	solute carrier family 25 member 6	Mitochondrial Dynamics	Catalyzes the exchange of ADP and ATP across the mitochondrial inner membrane. May participate in the formation of the permeability transition pore complex (PTPC) responsible for the release of mitochondrial products that triggers apoptosis	X	AAC3, ANT, ANT 2, ANT 3, ANT3, ANT3Y	HGNC:10992	SLC25A6	ENSG00000169100	SLC25A6	293	SLC25A6
SPG7	SPG7 matrix AAA peptidase subunit, paraplegin	Mitochondrial Dynamics	Putative ATP-dependent protease	16	CAR, CMAR, PGN, SPG5C	HGNC:11237	SPG7	ENSG00000197912	SPG7	6687	SPG7
SQSTM1	sequestosome 1	Mitochondrial Dynamics	Adapter protein which binds ubiquitin and may regulate the activation of NFKB1 by TNF-alpha, nerve growth factor (NGF) and interleukin-1. May play a role in titin/TTN downstream signaling in muscle cells. May regulate signaling cascades through ubiquitination. May be involved in cell differentiation, apoptosis, immune response and regulation of K(+) channels	5	A170, DMRV, FTDALS3, NADGP, OSIL, PDB3, ZIP3, p60, p62, p62B	HGNC:11280	SQSTM1	ENSG00000161011	SQSTM1	8878	SQSTM1
STOML2	stomatin like 2	Mitochondrial Dynamics	similarity:Belongs to the band 7/mec-2 familysubcellular location:Associated with the cytoskeletonsubunit:Interacts with CACNA2D2tissue specificity:Ubiquitously expressed at low levels	9	HSPC108, SLP-2	HGNC:14559	STOML2	ENSG00000165283	STOML2	30968	STOML2
SYBU	syntabulin	Mitochondrial Dynamics	Syntabulin/GOLSYN is part of a kinesin motor-adaptor complex that is critical for the anterograde axonal transport of active zone components and contributes to activity-dependent presynaptic assembly during neuronal development (Cai et al 2007 [PubMed 17611281]).[supplied by OMIM, Mar 2008],	8	GOLSYN, OCSYN, SNPHL	HGNC:26011	SYBU	ENSG00000147642	SYBU	55638	SYBU
TCAIM	T cell activation inhibitor, mitochondrial	Mitochondrial Dynamics	mitochondrial protein regulating in T-cell activation	3	C3orf23, TOAG-1, TOAG1	HGNC:25241	TCAIM	ENSG00000179152	TCAIM	285343	TCAIM
TMEM11	transmembrane protein 11	Mitochondrial Dynamics	similarity:Belongs to the TMEM11 family	17	C17orf35, PM1, PMI	HGNC:16823	TMEM11	ENSG00000178307	TMEM11	8834	TMEM11
TRAK1	trafficking kinesin protein 1	Mitochondrial Dynamics	PTM:O-glycosylatedsimilarity:Contains 1 HAP1 N-terminal domainsubunit:Interacts with O-GlcNAc transferase. Interacts with RHOT1/Miro-1 and RHOT2/Miro-2tissue specificity:High expression in spinal cord and moderate expression in all other tissues and specific brain regions examined. Expressed in all cell lines examined	3	EIEE68, MILT1, OIP106	HGNC:29947	TRAK1	ENSG00000182606	TRAK1	22906	TRAK1
TRAK2	trafficking kinesin protein 2	Mitochondrial Dynamics	PTM:O-glycosylatedsimilarity:Contains 1 HAP1 N-terminal domainsubunit:Interacts with GABA-A receptor and O-GlcNAc transferase (By similarity). Interacts with RHOT1/Miro-1 and RHOT2/Miro-2tissue specificity:Widely expressed, with highest expression in heart	2	ALS2CR3, CALS-C, GRIF-1, GRIF1, MILT2, OIP98	HGNC:13206	TRAK2	ENSG00000115993	TRAK2	66008	TRAK2
USP30	ubiquitin specific peptidase 30	Mitochondrial Dynamics	May participate in the maintenance of mitochondrial morphology	12		HGNC:20065	USP30	ENSG00000135093	USP30	84749	USP30
WDR81	WD repeat domain 81	Mitochondrial Dynamics	This gene encodes a multi-domain transmembrane protein, which is predominantly expressed in the brain. Mutations in this gene are associated with autosomal recessive cerebellar ataxia, mental retardation, and dysequilibrium syndrome-2. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2012],	17	CAMRQ2, HYC3, PPP1R166, SORF-2	HGNC:26600	WDR81	ENSG00000167716	WDR81	124997	WDR81
AKAP1	A-kinase anchoring protein 1	Mitochondrial Signaling	The A-kinase anchor proteins (AKAPs) are a group of structurally diverse proteins, which have the common function of binding to the regulatory subunit of protein kinase A (PKA) and confining the holoenzyme to discrete locations within the cell. This gene encodes a member of the AKAP family. The encoded protein binds to type I and type II regulatory subunits of PKA and anchors them to the mitochondrion. This protein is speculated to be involved in the cAMP-dependent signal transduction pathway and in directing RNA to a specific cellular compartment. [provided by RefSeq, Jul 2008],	17	AKAP21, AKAP149, AKAP84, D-AKAP1, PPP1R43, PRKA1, SAKAP84, TDRD17, AKAP1	HGNC:367	AKAP1	ENSG00000121057	AKAP1	8165	AKAP1
AKAP10	A-kinase anchoring protein 10	Mitochondrial Signaling	This gene encodes a member of the A-kinase anchor protein family. A-kinase anchor proteins bind to the regulatory subunits of protein kinase A (PKA) and confine the holoenzyme to discrete locations within the cell. The encoded protein is localized to mitochondria and interacts with both the type I and type II regulatory subunits of PKA. Polymorphisms in this gene may be associated with increased risk of arrhythmias and sudden cardiac death. [provided by RefSeq, May 2012],	17	AKAP-10, D-AKAP-2, D-AKAP2, PRKA10	HGNC:368	AKAP10	ENSG00000108599	AKAP10	11216	AKAP10
AKT1	AKT serine/threonine kinase 1	Mitochondrial Signaling	The serine-threonine protein kinase encoded by the AKT1 gene is catalytically inactive in serum-starved primary and immortalized fibroblasts. AKT1 and the related AKT2 are activated by platelet-derived growth factor. The activation is rapid and specific, and it is abrogated by mutations in the pleckstrin homology domain of AKT1. It was shown that the activation occurs through phosphatidylinositol 3-kinase. In the developing nervous system AKT is a critical mediator of growth factor-induced neuronal survival. Survival factors can suppress apoptosis in a transcription-independent manner by activating the serine/threonine kinase AKT1, which then phosphorylates and inactivates components of the apoptotic machinery. Mutations in this gene have been associated with the Proteus syndrome. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2011]	14	AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	HGNC:391	AKT1	ENSG00000142208	AKT1	207	AKT1
CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	Mitochondrial Signaling	The protein encoded by this gene belongs to a class of eukaryotic CX(9)C proteins characterized by four cysteine residues spaced ten amino acids apart from one another. These residues form disulfide linkages that define a CHCH fold. In response to stress, the protein translocates from the mitochondrial intermembrane space to the nucleus where it binds to a highly conserved 13 nucleotide oxygen responsive element in the promoter of cytochrome oxidase 4I2, a subunit of the terminal enzyme of the electron transport chain. In concert with recombination signal sequence-binding protein J, binding of this protein activates the oxygen responsive element at four percent oxygen. In addition, it has been shown that this protein is a negative regulator of mitochondria-mediated apoptosis. In response to apoptotic stimuli, mitochondrial levels of this protein decrease, allowing BCL2-associated X protein to oligomerize and activate the caspase cascade. Pseudogenes of this gene are found on multiple chromosomes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016],	7	C7orf17, MIX17B, MNRR1, NS2TP, PARK22	HGNC:21645	CHCHD2	ENSG00000106153	CHCHD2	51142	CHCHD2
GSK3B	glycogen synthase kinase 3 beta	Mitochondrial Signaling	Participates in the Wnt signaling pathway. Implicated in the hormonal control of several regulatory proteins including glycogen synthase, MYB and the transcription factor JUN. Phosphorylates JUN at sites proximal to its DNA-binding domain, thereby reducing its affinity for DNA. Phosphorylates MUC1 in breast cancer cells, and decreases the interaction of MUC1 with CTNNB1/beta-catenin	3		HGNC:4617	GSK3B	ENSG00000082701	GSK3B	2932	GSK3B
IDE	insulin degrading enzyme	Mitochondrial Signaling	"This gene encodes a zinc metallopeptidase that degrades intracellular insulin, and thereby terminates insulins activity, as well as participating in intercellular peptide signalling by degrading diverse peptides such as glucagon, amylin, bradykinin, and kallidin. The preferential affinity of this enzyme for insulin results in insulin-mediated inhibition of the degradation of other peptides such as beta-amyloid. Deficiencies in this protein&apos;s function are associated with Alzheimer&apos;s disease and type 2 diabetes mellitus but mutations in this gene have not been shown to be causitive for these diseases. This protein localizes primarily to the cytoplasm but in some cell types localizes to the extracellular space, cell membrane, peroxisome, and mitochondrion. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional transcript variants have been described but have not been experimentally verified.[provided by RefSeq, Sep 2009],"	10	INSULYSIN	HGNC:5381	IDE	ENSG00000119912	IDE	3416	IDE
MAVS	mitochondrial antiviral signaling protein	Mitochondrial Signaling	This gene encodes an intermediary protein necessary in the virus-triggered beta interferon signaling pathways. It is required for activation of transcription factors which regulate expression of beta interferon and contributes to antiviral immunity. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011],	20	CARDIF, IPS-1, IPS1, VISA	HGNC:29233	MAVS	ENSG00000088888	MAVS	57506	MAVS
MTOR	mechanistic target of rapamycin kinase	Mitochondrial Signaling	Acts as the target for the cell-cycle arrest and immunosuppressive effects of the FKBP12-rapamycin complex. Part of the TORC2 complex which plays a critical role in AKT1 Ser-473 phosphorylation, and may modulate the phosphorylation of PKCA and regulate actin cytoskeleton organization	1	FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS	HGNC:3942	MTOR	ENSG00000198793	MTOR	2475	MTOR
NLRX1	NLR family member X1	Mitochondrial Signaling	Participates in antiviral signaling. Acts as a negative regulator of MAVS-mediated antiviral responses, through the inhibition of the virus-induced RLH (RIG-like helicase)-MAVS interaction (PubMed:18200010). Has no inhibitory function on NF- Kappa-B and type 1 interferon signaling pathways, but enhances NF- Kappa-B and JUN N-terminal kinase dependent signaling through the production of reactive oxygen species (PubMed:18219313)	11	CLR11.3, DLNB26, NOD26, NOD5, NOD9	HGNC:29890	NLRX1	ENSG00000160703	NLRX1	79671	NLRX1
PRKACA	protein kinase cAMP-activated catalytic subunit alpha	Mitochondrial Signaling	"This gene encodes one of the catalytic subunits of protein kinase A, which exists as a tetrameric holoenzyme with two regulatory subunits and two catalytic subunits, in its inactive form. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. Four different regulatory subunits and three catalytic subunits have been identified in humans. cAMP-dependent phosphorylation of proteins by protein kinase A is important to many cellular processes, including differentiation, proliferation, and apoptosis. Constitutive activation of this gene caused either by somatic mutations, or genomic duplications of regions that include this gene, have been associated with hyperplasias and adenomas of the adrenal cortex and are linked to corticotropin-independent Cushing&apos;s syndrome. Alternative splicing results in multiple transcript variants encoding different isoforms. Tissue-specific isoforms that differ at the N-terminus have been described, and these isoforms may differ in the post-translational modifications that occur at the N-terminus of some isoforms. [provided by RefSeq, Jan 2015],"	19	PKACA, PPNAD4	HGNC:9380	PRKACA	ENSG00000072062	PRKACA	5566	PRKACA
PRKCE	protein kinase C epsilon	Mitochondrial Signaling	Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. This kinase has been shown to be involved in many different cellular functions, such as neuron channel activation, apoptosis, cardioprotection from ischemia, heat shock response, as well as insulin exocytosis. Knockout studies in mice suggest that this kinase is important for lipopolysaccharide (LPS)-mediated signaling in activated macrophages and may also play a role in controlling anxiety-like behavior. [provided by RefSeq, Jul 2008],	2	PKCE, nPKC-epsilon	HGNC:9401	PRKCE	ENSG00000171132	PRKCE	5581	PRKCE
SHC1	SHC adaptor protein 1	Mitochondrial Signaling	This gene encodes three main isoforms that differ in activities and subcellular location. While all three are adapter proteins in signal transduction pathways, the longest (p66Shc) may be involved in regulating life span and the effects of reactive oxygen species. The other two isoforms, p52Shc and p46Shc, link activated receptor tyrosine kinases to the Ras pathway by recruitment of the GRB2/SOS complex. p66Shc is not involved in Ras activation. Unlike the other two isoforms, p46Shc is targeted to the mitochondrial matrix. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2011],	1	SHC, SHCA	HGNC:10840	SHC1	ENSG00000160691	SHC1	6464	SHC1
SIRT1	sirtuin 1	Mitochondrial Signaling	NAD-dependent deacetylase, which regulates processes such as apoptosis and muscle differentiation by deacetylating key proteins. Deacetylates 'Lys-382' of p53/TP53 and impairs its ability to induce proapoptotic program and modulate cell senescence. Deacetylates TAF1B and thereby represses rDNA transcription by the RNA polymerase I. Involved in HES1- and HEY2- mediated transcriptional repression. Inhibits skeletal muscle differentiation by deacetylating PCAF and MYOD1. May serve as a sensor of the cytosolic ratio of NAD(+)/NADH, which is essential in skeletal muscle cell differentiation. Despite some ability to deacetylate histones in vitro, such activity is either weak or inexistent in vivo. In case of HIV-1 infection, interacts with and deacetylates the viral Tat protein	10	SIR2, SIR2L1, SIR2alpha	HGNC:14929	SIRT1	ENSG00000096717	SIRT1	23411	SIRT1
SIRT2	sirtuin 2	Mitochondrial Signaling	NAD-dependent deacetylase, which deacetylates the 'Lys- 40' of alpha-tubulin. Involved in the control of mitotic exit in the cell cycle, probably via its role in the regulation of cytoskeleton. Despite some ability to deacetylate histones in vitro, it is unlikely in vivo	19	SIR2, SIR2L, SIR2L2	HGNC:10886	SIRT2	ENSG00000068903	SIRT2	22933	SIRT2
SIRT3	sirtuin 3	Mitochondrial Signaling	NAD-dependent deacetylase. Despite some ability to deacetylate histones in vitro, it is unlikely in vivo	11	SIR2L3	HGNC:14931	SIRT3	ENSG00000142082	SIRT3	23410	SIRT3
SIRT4	sirtuin 4	Mitochondrial Signaling	Probable NAD-dependent deacetylase (By similarity)	12	SIR2L4	HGNC:14932	SIRT4	ENSG00000089163	SIRT4	23409	SIRT4
SIRT5	sirtuin 5	Mitochondrial Signaling	Probable NAD-dependent deacetylase (By similarity)	6	SIR2L5	HGNC:14933	SIRT5	ENSG00000124523	SIRT5	23408	SIRT5
SYNJ2BP	synaptojanin 2 binding protein	Mitochondrial Signaling	similarity:Contains 1 PDZ (DHR) domainsubunit:Binds (via the PDZ domain) to isoform 2A of SYNJ2 (via the unique motif in the C-terminus)	14	ARIP2, OMP25	HGNC:18955	SYNJ2BP	ENSG00000213463	SYNJ2BP	55333	SYNJ2BP
AMBRA1	autophagy and beclin 1 regulator 1 	Mitophagy	function:Regulates autophagy and development of the nervous system. Involved in autophagy in controlling protein turnover during neuronal development, and in regulating normal cell survival and proliferationsimilarity:Contains 3 WD repeatssubunit:Interacts with BECN1. Probably forms a complex with BECN1 and PIK3C. AMBRA1 regulates mitophagy through a novel pathway, in which HUWE1 and IKKalpha are key factors, shedding new lights on the regulation of mitochondrial quality control and homoeostasis in mammalian cells.	11	DCAF3,WDR94,	HGNC:25990	AMBRA1	ENSG00000110497	AMBRA1	55626	AMBRA1
ATG5	autophagy related 5 	Mitophagy	The protein encoded by this gene, in combination with autophagy protein 12, functions as an E1-like activating enzyme in a ubiquitin-like conjugating system. The encoded protein is involved in several cellular processes, including autophagic vesicle formation, mitochondrial quality control after oxidative damage, negative regulation of the innate antiviral immune response, lymphocyte development and proliferation, MHC II antigen presentation, adipocyte differentiation, and apoptosis. Several transcript variants encoding different protein isoforms have been found for this gene. 	6	APG5,APG5-LIKE,APG5L,ASP,hAPG5,	HGNC:589	ATG5	ENSG00000057663	ATG5	9474	ATG5
ATG9B	autophagy related 9B 	Mitophagy	This gene functions in the regulation of autophagy, a lysosomal degradation pathway. This gene also functions as an antisense transcript in the posttranscriptional regulation of the endothelial nitric oxide synthase 3 gene, which has 3' overlap with this gene on the opposite strand. Mutations in this gene and disruption of the autophagy process have been associated with multiple cancers. Alternative splicing results in multiple transcript variants.	7	APG9L2,NOS3AS,SONE,	HGNC:21899	ATG9B	ENSG00000181652	ATG9B	285973	ATG9B
BECN1	beclin 1	Mitophagy	This gene encodes a protein that regulates autophagy, a catabolic process of degradation induced by starvation. The encoded protein is a component of the phosphatidylinositol-3-kinase (PI3K) complex which mediates vesicle-trafficking processes. This protein is thought to play a role in multiple cellular processes, including tumorigenesis, neurodegeneration and apoptosis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]	17	ATG6, VPS30, beclin1	HGNC:1034	BECN1	ENSG00000126581	BECN1	8678	BECN1
BECN2	beclin 2 	Mitophagy	"involved in autophagy, mitophagy; endosome to lysosome transport; cellular response to nitrogen starvation; autophagosome assembly;"	1	BECN1L1,BECN1P1,	HGNC:38606	BECN2	ENSG00000196289	BECN2	441925	BECN2
CALCOCO2	calcium binding and coiled-coil domain 2 	Mitophagy	This gene encodes a coiled-coil domain-containing protein. The encoded protein functions as a receptor for ubiquitin-coated bacteria and plays an important role in innate immunity by mediating macroautophagy. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. 	17	NDP52,	HGNC:29912	CALCOCO2	ENSG00000136436	CALCOCO2	10241	CALCOCO2
CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 	Mitophagy	The protein encoded by this gene inhibits transactivation of HIF1A-induced genes by competing with binding of hypoxia-inducible factor 1-alpha to p300-CH1. Mutations in this gene are a cause of cardiac septal defects. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	6	ASD8,MRG-1,MRG1,P35SRJ,VSD2,	HGNC:1987	CITED2	ENSG00000164442	CITED2	10370	CITED2
GABARAP	GABA type A receptor-associated protein 	Mitophagy	May play a role in intracellular transport of GABA(A) receptors and its interaction with the cytoskeleton (By similarity)	17	ATG8A,GABARAP-a,MM46,	HGNC:4067	GABARAP	ENSG00000170296	GABARAP	11337	GABARAP
NBR1	NBR1 autophagy cargo receptor 	Mitophagy	The protein encoded by this gene was originally identified as an ovarian tumor antigen monitored in ovarian cancer. The encoded protein contains a B-box/coiled-coil motif, which is present in many genes with transformation potential. It functions as a specific autophagy receptor for the selective autophagic degradation of peroxisomes by forming intracellular inclusions with ubiquitylated autophagic substrates. This gene is located on a region of chromosome 17q21.1 that is in close proximity to the BRCA1 tumor suppressor gene. Alternative splicing of this gene results in multiple transcript variants.	17	1A1-3B,IAI3B,M17S2,MIG19,	HGNC:6746	NBR1	ENSG00000188554	NBR1	4077	NBR1
OPTN	optineurin 	Mitophagy	This gene encodes the coiled-coil containing protein optineurin. Optineurin may play a role in normal-tension glaucoma and adult-onset primary open angle glaucoma. Optineurin interacts with adenovirus E3-14.7K protein and may utilize tumor necrosis factor-alpha or Fas-ligand pathways to mediate apoptosis, inflammation or vasoconstriction. Optineurin may also function in cellular morphogenesis and membrane trafficking, vesicle trafficking, and transcription activation through its interactions with the RAB8, huntingtin, and transcription factor IIIA proteins. Alternative splicing results in multiple transcript variants encoding the same protein. Has been implicated in Mitophagy.	10	ALS12,FIP2,GLC1E,HIP7,HYPL,NRP,TFIIIA-INTP,	HGNC:17142	OPTN	ENSG00000123240	OPTN	10133	OPTN
PGAM5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase 	Mitophagy	Displays phosphatase activity for serine/threonine residues, and, dephosphorylates and activates MAP3K5 kinase. Has apparently no phosphoglycerate mutase activity. May be regulator of mitochondrial dynamics. Substrate for a KEAP1-dependent ubiquitin ligase complex. Contributes to the repression of NFE2L2-dependent gene expression. Acts as a central mediator for programmed necrosis induced by TNF, by reactive oxygen species and by calcium ionophore. 	12	BXLBV68,	HGNC:28763	PGAM5	ENSG00000247077	PGAM5	192111	PGAM5
PINK1	PTEN induced kinase 1 	Mitophagy	This gene encodes a serine/threonine protein kinase that localizes to mitochondria. It is thought to protect cells from stress-induced mitochondrial dysfunction. Mutations in this gene cause one form of autosomal recessive early-onset Parkinson disease. [provided by RefSeq, Jul 2008],	1	BRPK,PARK6,	HGNC:14581	PINK1	ENSG00000158828	PINK1	65018	PINK1
PRKN	parkin RBR E3 ubiquitin protein ligase 	Mitophagy	"The precise function of this gene is unknown; however, the encoded protein is a component of a multiprotein E3 ubiquitin ligase complex that mediates the targeting of substrate proteins for proteasomal degradation. Mutations in this gene are known to cause Parkinson disease and autosomal recessive juvenile Parkinson disease. Alternative splicing of this gene produces multiple transcript variants encoding distinct isoforms. Additional splice variants of this gene have been described but currently lack transcript support. [provided by RefSeq, Jul 2008]"	6	AR-JP,LPRS2,PARK2,PDJ,	HGNC:8607	PRKN	ENSG00000185345	PRKN	5071	PRKN
RAB7B	RAB7B, member RAS oncogene family 	Mitophagy	Controls vesicular trafficking from endosomes to the trans-Golgi network (TGN). Acts as a negative regulator of TLR9 signaling and can suppress TLR9-triggered TNFA, IL6, and IFNB production in macrophages by promoting TLR9 lysosomal degradation. Also negatively regulates TLR4 signaling in macrophages by promoting lysosomal degradation of TLR4. Promotes megakaryocytic differentiation by increasing NF-kappa-B-dependent IL6 production and subsequently enhancing the association of STAT3 with GATA1. Not involved in the regulation of the EGF- and EGFR degradation pathway. 	1	RAB7,	HGNC:30513	RAB7B	ENSG00000276600	RAB7B	338382	RAB7B
RRAS2	RAS related 2 	Mitophagy	This gene encodes a member of the R-Ras subfamily of Ras-like small GTPases. The encoded protein associates with the plasma membrane and may function as a signal transducer. This protein may play an important role in activating signal transduction pathways that control cell proliferation. Mutations in this gene are associated with the growth of certain tumors. Pseudogenes of this gene are found on chromosomes 1 and 2. Alternate splicing results in multiple transcript variants.	11	TC21,	HGNC:17271	RRAS2	ENSG00000133818	RRAS2	22800	RRAS2
TAX1BP1	Tax1 binding protein 1 	Mitophagy	This gene encodes a HTLV-1 tax1 binding protein. The encoded protein interacts with TNFAIP3, and inhibits TNF-induced apoptosis by mediating the TNFAIP3 anti-apoptotic activity. Degradation of this protein by caspase-3-like family proteins is associated with apoptosis induced by TNF. This protein may also have a role in the inhibition of inflammatory signaling pathways. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	7	CALCOCO3,T6BP,TXBP151,	HGNC:11575	TAX1BP1	ENSG00000106052	TAX1BP1	8887	TAX1BP1
TBC1D15	TBC1 domain family member 15 	Mitophagy	This gene encodes a member of the Ras-like proteins in brain-GTPase activating protein superfamily that share a conserved Tre-2/Bub2/Cdc16 domain. The encoded protein interacts with Ras-like protein in brain 5A and may function as a regulator of intracellular trafficking. Alternate splicing results in multiple transcript variants.	12	RAB7-GAP,	HGNC:25694	TBC1D15	ENSG00000121749	TBC1D15	64786	TBC1D15
TBK1	TANK binding kinase 1 	Mitophagy	The NF-kappa-B (NFKB) complex of proteins is inhibited by I-kappa-B (IKB) proteins, which inactivate NFKB by trapping it in the cytoplasm. Phosphorylation of serine residues on the IKB proteins by IKB kinases marks them for destruction via the ubiquitination pathway, thereby allowing activation and nuclear translocation of the NFKB complex. The protein encoded by this gene is similar to IKB kinases and can mediate NFKB activation in response to certain growth factors.	12	FTDALS4,NAK,T2K,	HGNC:11584	TBK1	ENSG00000183735	TBK1	29110	TBK1
ULK1	unc-51 like autophagy activating kinase 1 	Mitophagy	"Serine/threonine-protein kinase involved in autophagy in response to starvation. Acts upstream of phosphatidylinositol 3-kinase PIK3C3 to regulate the formation of autophagophores, the precursors of autophagosomes. Part of regulatory feedback loops in autophagy: acts both as a downstream effector and negative regulator of mammalian target of rapamycin complex 1 (mTORC1) via interaction with RPTOR. Activated via phosphorylation by AMPK and also acts as a regulator of AMPK by mediating phosphorylation of AMPK subunits PRKAA1, PRKAB2 and PRKAG1, leading to negatively regulate AMPK activity. May phosphorylate ATG13/KIAA0652 and RPTOR; however such data need additional evidences. Plays a role early in neuronal differentiation and is required for granule cell axon formation. May also phosphorylate SESN2 and SQSTM1 to regulate autophagy (PubMed:25040165). "	12	ATG1,ATG1A,UNC51,Unc511,hATG1,	HGNC:12558	ULK1	ENSG00000177169	ULK1	8408	ULK1
USP15	ubiquitin specific peptidase 15 	Mitophagy	This gene encodes a member of the ubiquitin specific protease (USP) family of deubiquitinating enzymes. USP enzymes play critical roles in ubiquitin-dependent processes through polyubiquitin chain disassembly and hydrolysis of ubiquitin-substrate bonds. The encoded protein associates with the COP9 signalosome, and also plays a role in transforming growth factor beta signalling through deubiquitination of receptor-activated SMAD transcription factors. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene, and a pseudogene of this gene is located on the long arm of chromosome 2. 	12	UNPH-2,UNPH4,	HGNC:12613	USP15	ENSG00000135655	USP15	9958	USP15
USP8	ubiquitin specific peptidase 8 	Mitophagy	This gene encodes a protein that belongs to the ubiquitin-specific processing protease family of proteins. The encoded protein is thought to regulate the morphology of the endosome by ubiquitination of proteins on this organelle and is involved in cargo sorting and membrane trafficking at the early endosome stage. This protein is required for the cell to enter the S phase of the cell cycle and also functions as a positive regulator in the Hedgehog signaling pathway in development. Pseudogenes of this gene are present on chromosomes 2 and 6. Alternate splicing results in multiple transcript variants.	15	HumORF8,SPG59,UBPY,	HGNC:12631	USP8	ENSG00000138592	USP8	9101	USP8
ARG1	arginase 1	Nitrogen Metabolism	Arginase catalyzes the hydrolysis of arginine to ornithine and urea. At least two isoforms of mammalian arginase exist (types I and II) which differ in their tissue distribution, subcellular localization, immunologic crossreactivity and physiologic function. The type I isoform encoded by this gene, is a cytosolic enzyme and expressed predominantly in the liver as a component of the urea cycle. Inherited deficiency of this enzyme results in argininemia, an autosomal recessive disorder characterized by hyperammonemia. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011],	6		HGNC:663	ARG1	ENSG00000118520	ARG1	383	ARG1
ARG2	arginase 2	Nitrogen Metabolism	May play a role in the regulation of extra-urea cycle arginine metabolism and also in down-regulation of nitric oxide synthesis. Extrahepatic arginase functions to regulate L-arginine bioavailability to NO synthase. Since NO synthase is found in the penile corpus cavernosum smooth muscle, the clitoral corpus cavernosum and the vagina, arginase II plays a role in both male and female sexual arousal. It is therefore a potential target for the treatment of male and female sexual arousal disorders	14		HGNC:664	ARG2	ENSG00000081181	ARG2	384	ARG2
ASL	argininosuccinate lyase	Nitrogen Metabolism	This gene encodes a member of the lyase 1 family. The encoded protein forms a cytosolic homotetramer and primarily catalyzes the reversible hydrolytic cleavage of argininosuccinate into arginine and fumarate, an essential step in the liver in detoxifying ammonia via the urea cycle. Mutations in this gene result in the autosomal recessive disorder argininosuccinic aciduria, or argininosuccinic acid lyase deficiency. A nontranscribed pseudogene is also located on the long arm of chromosome 22. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008],	7	ASAL	HGNC:746	ASL	ENSG00000126522	ASL	435	ASL
CA5A	carbonic anhydrase 5A	Nitrogen Metabolism	 Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide.  They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid.  They show extensive diversity in tissue distribution and in their subcellular localization.  CA VA is localized in the mitochondria and expressed primarily in the liver.  It may play an important role in ureagenesis and gluconeogenesis.  CA5A gene maps to chromosome 16q24.3 and an unprocessed pseudogene has been assigned to 16p12-p11.2. [provided by RefSeq, Jul 2008],	16	CA5D, CAV, CAVA, GS1-21A4.1, CA5A	HGNC:1377	CA5A	ENSG00000174990	CA5A	763	CA5A
CA5B	carbonic anhydrase 5B	Nitrogen Metabolism	 Carbonic anhydrases (CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide.  They participate in a variety of biological processes, including respiration, calcification, acid-base balance, bone resorption, and the formation of aqueous humor, cerebrospinal fluid, saliva, and gastric acid.  They show extensive diversity in tissue distribution and in their subcellular localization.  CA VB is localized in the mitochondria and shows the highest sequence similarity to the other mitochondrial CA, CA VA.  It has a wider tissue distribution than CA VA, which is restricted to the liver.  The differences in tissue distribution suggest that the two mitochondrial carbonic anhydrases evolved to assume different physiologic roles. [provided by RefSeq, Jul 2008],	X	CA-VB, CAVB	HGNC:1378	CA5B	ENSG00000169239	CA5B	11238	CA5B
